bleu score     	rouge score    	meteor score   
3.908633169762327e-78	0.7169811320754716	0.40903192156521845
0.32466791547509893	0.8363636363636363	0.6776         
8.416851712392762e-232	0.3684210526315789	0.11347071296050885
0.43167001068522526	0.8157894736842105	0.6124614197530864
6.030654703641957e-155	0.6666666666666666	0.30136758531820257
0.5348259312838877	0.7551020408163265	0.574755822689707
0.5081327481546147	0.8214285714285714	0.498          
7.600394483915427e-155	0.6521739130434783	0.49220338983050854
0.20333448190047881	0.7142857142857143	0.5269390163934425
3.1476699889714443e-78	0.71875        	0.3934358295641448
2.9141841540646876e-78	0.6304347826086957	0.23885350318471338
0.44632361378533286	0.6530612244897959	0.37011634405324395
3.6817536441524436e-78	0.7288135593220338	0.5246835071516622
1.384292958842266e-231	0.3333333333333333	0.4673721340388007
2.9305031327211714e-78	0.5121951219512195	0.3619681769977252
0.21972813874997157	0.6551724137931034	0.5709476413516227
0.21972813874997157	0.5689655172413793	0.4674873305026709
3.7734183673994593e-78	0.7333333333333333	0.34041213888152666
4.1735993043546123e-78	0.6956521739130435	0.4458816442287517
6.279277834418638e-155	0.6049382716049383	0.31571842271430745
0.24601372576927535	0.6323529411764706	0.29757495590828925
4.17593936422147e-78	0.6833333333333333	0.5413281836964687
0.4216383984557386	0.7623762376237624	0.5024313882227551
7.176381577237209e-155	0.6551724137931034	0.41760768693795425
5.30941411456236e-78	0.6097560975609756	0.730224609375 
1.0032743411283238e-231	0.5384615384615384	0.20248724489795916
0.7259795291154771	0.9230769230769231	0.8636048027909025
0.3850322886878712	0.8125         	0.5545093115714584
3.122713519517589e-78	0.6666666666666666	0.42678864288642887
8.286571670851008e-155	0.7222222222222222	0.42357351103706786
6.7393716283177006e-155	0.4857142857142857	0.33150434385002275
0.5260093017679724	0.75           	0.6921906033578563
0.38091370416670794	0.8552631578947368	0.6084399290981499
3.739798960152716e-78	0.6296296296296297	0.6319038156244102
0.6269641331921132	0.9375         	0.6914198606271776
3.231209322766464e-78	0.6986301369863014	0.42276028426536627
0.3623885503140912	0.8117647058823529	0.5367006914960826
1.331960397810445e-231	0.45           	0.2823823406913786
1.4256605770826504e-231	0.4117647058823529	0.1240234375   
6.968148412761692e-155	0.5909090909090909	0.3273909095254026
9.988500430528834e-232	0.631578947368421	0.23303149606299214
1.491668146240062e-154	1.0            	0.9375         
0.5316967153331754	0.8181818181818182	0.8184772738135067
0.4583034067124109	0.8533333333333334	0.7721732446240563
0              	0.5333333333333333	0.0            
0.21620508650490267	0.7906976744186046	0.3950235064786149
1.491668146240062e-154	1.0            	0.9375         
4.2492320052205223e-78	0.6619718309859155	0.5310676946703868
0.16652408234019814	0.64           	0.36310628147362844
0.3410791845736444	0.691358024691358	0.6239453125   
0.22416933501922287	0.4909090909090909	0.3864320700761216
0.32069326294908385	0.8769230769230769	0.5296890473361061
3.238049479805191e-78	0.6483516483516484	0.40895061728395066
0.5322898913303924	0.8089887640449438	0.597845618729097
6.222676699505816e-155	0.6071428571428571	0.39352941176470585
1.0            	1.0            	0.9921875      
0.1892240568795935	0.6349206349206349	0.43605804443359375
5.653571856842464e-155	0.5966386554621849	0.36060474537037035
0.25567957494892185	0.782608695652174	0.5917237606837608
